# gene name                                                                       KO     thrshld  score   E-value KO definition
#-------------------------------------------------------------------------------- ------ ------- ------ --------- ---------------------
* B113_G9_Unknown-B113_Guay9_scaffold_06971_1_B113_G9_Idunnarchaeota.fna_1_2      K14656  112.07  159.9   1.9e-48 FAD synthetase [EC:2.7.7.2]
* B113_G9_Unknown-B113_Guay9_scaffold_06971_1_B113_G9_Idunnarchaeota.fna_1_3      K07732   95.73  141.5   1.5e-42 riboflavin kinase, archaea type [EC:2.7.1.161]
* B113_G9_Unknown-B113_Guay9_scaffold_06971_1_B113_G9_Idunnarchaeota.fna_1_6      K15449  185.77  405.4  2.4e-122 tRNA wybutosine-synthesizing protein 1 [EC:4.1.3.44]
* B113_G9_Unknown-B113_Guay9_scaffold_06971_1_B113_G9_Idunnarchaeota.fna_1_7      K03433  193.97  197.3   1.7e-59 proteasome beta subunit [EC:3.4.25.1]
* B113_G9_Unknown-B113_Guay9_scaffold_06971_1_B113_G9_Idunnarchaeota.fna_1_8      K06943  127.70  340.9  7.7e-103 nucleolar GTP-binding protein
* B113_G9_Unknown-B113_Guay9_scaffold_06971_1_B113_G9_Idunnarchaeota.fna_1_9      K00952  103.97  241.8   3.5e-73 nicotinamide-nucleotide adenylyltransferase [EC:2.7.7.1]
* B113_G9_Unknown-B113_Guay9_scaffold_06971_1_B113_G9_Idunnarchaeota.fna_1_10     K00830  415.80  417.5  3.9e-126 alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]
* B113_G9_Unknown-B113_Guay9_scaffold_06971_1_B113_G9_Idunnarchaeota.fna_1_12     K09730   92.57  150.3   1.4e-45 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_06971_1_B113_G9_Idunnarchaeota.fna_1_13     K00096  176.20  392.8  1.2e-118 glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
* B113_G9_Unknown-B113_Guay9_scaffold_06971_1_B113_G9_Idunnarchaeota.fna_1_14     K03433  193.97  252.3   3.2e-76 proteasome beta subunit [EC:3.4.25.1]
* B113_G9_Unknown-B113_Guay9_scaffold_17578_4_B113_G9_Idunnarchaeota.fna_4_3      K07725   73.67  168.7   6.2e-51 CRISPR-associated protein Csa3
* B113_G9_Unknown-B113_Guay9_scaffold_17578_4_B113_G9_Idunnarchaeota.fna_4_6      K03926   35.07  124.3   3.1e-37 periplasmic divalent cation tolerance protein
* B113_G9_Unknown-B113_Guay9_scaffold_17578_4_B113_G9_Idunnarchaeota.fna_4_8      K06983  235.87  262.9   1.4e-79 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_21389_5_B113_G9_Idunnarchaeota.fna_5_1      K02962   33.40   38.4   3.8e-11 small subunit ribosomal protein S17e
* B113_G9_Unknown-B113_Guay9_scaffold_21389_5_B113_G9_Idunnarchaeota.fna_5_2      K23370  109.43  139.7   5.2e-42 L-serine kinase (ADP) [EC:2.7.1.226]
* B113_G9_Unknown-B113_Guay9_scaffold_21389_5_B113_G9_Idunnarchaeota.fna_5_3      K07101  123.57  146.2   4.7e-44 uncharacterized protein
